Author,Title,Journal,Abstract,Publication Date,Publication Year,Volume,Issue,DOI,DOI Link
"Ge, Yuanzheng; Meng, Rongqing; Cao, Zhidong; Qiu, Xiaogang; Huang, Kedi",Virtual city: An individual-based digital environment for human mobility and interactive behavior,SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL,"Increasing computing capability and high-resolution digital tracing of human behavior make large-scale computational models for individual-based realistic simulation available. Reconstructing a virtual computational environment is crucial for designing and implementing individual interactions in an artificial society as human beings behave in the real world. In this paper, we propose a methodology to recreate a virtual city by utilizing statistical data and geographic information. The synthetic population and physical environment are baseline components of the virtual city. Individual-based modeling is used to specify individuals' demographic characteristics, and each individual is endowed with heterogeneous social attributes. Various physical environments are generated with geographic locations and mapped with individuals to support daily mobility, migration, and interaction. A series of algorithms are proposed to bridge the gap between macroscopic data and microscopic models, and guarantee equivalence between them. Based on the methodology, we reconstructed a virtual city of Beijing, and presented the statistical analysis of population structure, spatial distribution of physical environments, human travel characteristics, and spatial topologies of social networks. Our synthetic population can represent individual actors in the form of households and household members, and the synthetic population is statistically equivalent to a real population. The proposed methodology is efficient to recreate a synthetic virtual city and can serve as a base for computational experiments.",AUG,2014,90,8,10.1177/0037549714531061,http://dx.doi.org/10.1177/0037549714531061
"O'Neil, Caroline A.; Sattenspiel, Lisa",Agent-Based Modeling of the Spread of the 1918-1919 Flu in Three Canadian Fur Trading Communities,AMERICAN JOURNAL OF HUMAN BIOLOGY,"Objectives: Previous attempts to study the 1918-1919 flu in three small communities in central Manitoba have used both three-community population-based and single-community agent-based models. These studies identified critical factors influencing epidemic spread, but they also left important questions unanswered. The objective of this project was to design a more realistic agent-based model that would overcome limitations of earlier models and provide new insights into these outstanding questions. Methods: The new model extends the previous agent-based model to three communities so that results can be compared to those from the population-based model. Sensitivity testing was conducted, and the new model was used to investigate the influence of seasonal settlement and mobility patterns, the geographic heterogeneity of the observed 1918-1919 epidemic in Manitoba, and other questions addressed previously. Results: Results confirm outcomes from the population-based model that suggest that (a) social organization and mobility strongly influence the timing and severity of epidemics and (b) the impact of the epidemic would have been greater if it had arrived in the summer rather than the winter. New insights from the model suggest that the observed heterogeneity among communities in epidemic impact was not unusual and would have been the expected outcome given settlement structure and levels of interaction among communities. Conclusions: Application of an agent-based computer simulation has helped to better explain observed patterns of spread of the 1918-1919 flu epidemic in central Manitoba. Contrasts between agent-based and population-based models illustrate the advantages of agent-based models for the study of small populations. Am. J. Hum. Biol. 22:757-767, 2010. (C) 2010 Wiley-Liss, Inc.",NOV-DEC,2010,22,6,10.1002/ajhb.21077,http://dx.doi.org/10.1002/ajhb.21077
"Dawid, Herbert; Gemkow, Simon; Harting, Philipp; Neugart, Michael",On the Effects of Skill Upgrading in the Presence of Spatial Labor Market Frictions: An Agent-Based Analysis of Spatial Policy Design,JASSS-THE JOURNAL OF ARTIFICIAL SOCIETIES AND SOCIAL SIMULATION,"We report results of economic policy experiments carried out in the framework of the EURACE agent-based macroeconomic model featuring a distinct geographical dimension and heterogeneous workers with respect to skill types. Using a calibrated model able to replicate a range of stylized facts of goods and labor markets, it is examined in how far effects differ if policy measures aiming at an improvement of general skills are uniformly spread over all regions in the economy or focused in one particular region. We find that it depends on the level of spatial frictions on the labor market how the spatial distribution of policy measures affects the effects of the policy. Furthermore, we show that a reduction in spatial frictions does not necessarily improve the growth of output and household income.",OCT,2009,12,4,,
"Mansury, Y; Deisboeck, TS",Simulating the time series of a selected gene expression profile in an agent-based tumor model,PHYSICA D-NONLINEAR PHENOMENA,"To elucidate the role of environmental conditions in molecular-level dynamics and to study their impact on macroscopic brain tumor growth patterns, the expression of the genes Tenascin C and PCNA in a 2D agent-based model for the migratory trait is calibrated using experimental data from the literature, while the expression of these genes for the proliferative trait is obtained as the model output. Numerical results confirm that the gene expression of Tenascin C is indeed consistently higher in the migratory glioma cell phenotype and show that the expression of PCNA is consistently higher among proliferating tumor cells. Intriguingly, the time series of the tumor cells' gene expression exhibit a sudden change in behavior during the invasion of the tumor into a nutrient-abundant region, showing a robust positive correlation between the expression of Tenascin C and the tumor's diameter, yet a strong negative correlation between the expression of PCNA and the diameter. These molecular-level dynamics correspond to the emergence of a structural asymmetry in the form of a bulging tumor rim in the nutrient-abundant region. The simulated time series thus supports the critical role of the migratory cell phenotype during both the tumor system's overall macroscopic expansion and the evolvement of regional growth patterns, particularly in the later stages. Furthermore, detrended fluctuation analysis (DFA) suggests that for prediction purposes, the simulated gene expression profiles of Tenascin C and PCNA that were determined separately for the migrating and proliferating phenotypes exhibit lesser predictability than those of the phenotypic mixture combining all viable tumor cells typically found in clinical biopsies. Finally, partitioning the tumor into distinct geographic regions of interest (ROI) reveals that the gene expression profile of tumor cells in the quadrant close to the nutrient-abundant region is representative for the entire tumor whereas the expression profile of tumor cells in the geographically opposite ROI is not. Potential implications of these modeling results for experimental and clinical cancer research are discussed. (C) 2004 Elsevier B.V. All rights reserved.",1-Sep,2004,196,1月2日,10.1016/j.physd.2004.04.008,http://dx.doi.org/10.1016/j.physd.2004.04.008
"Elkamel, Marwen; Valencia, Andrea; Zhang, Wei; Zheng, Qipeng P.; Chang, Ni-Bin",Multi-agent modeling for linking a green transportation system with an urban agriculture network in a food-energy-water nexus,SUSTAINABLE CITIES AND SOCIETY,"Food-energy-water (FEW) nexus analysis is critical for sustainable urban development. The synergies among various resources flows in the urban agriculture network and the green transportation (GT) system with sus-tainability credentials of autonomous electric vehicles become an emerging research topic of interest in a FEW nexus. An agent-based modeling (ABM) framework using the NetLogo software platform was developed in this study to simulate extensive interactions among these FEW agents (consumers, producers, microgrid operators, water managers, and GT vehicles) to better understand the linkages and interactions between produce of urban farming and GT. The proposed ABM framework is illustrated by analyzing seven scenarios based on a case study of a food desert elimination plan in the Great Miami Metropolitan Region, south Florida. The region contains several urban agriculture sites within an urban agriculture network designed to contribute a new food supply to the local community demarcated as food deserts. In the FEW contexts, a group of autonomous electric vehicles is introduced to increase site access to these urban agriculture sites for the local consumers. Findings show that the integration of a GT system in an urban agriculture network can lead to more efficient and sustainable operation in a low-carbon city.",FEB,2023,89,,10.1016/j.scs.2022.104354,http://dx.doi.org/10.1016/j.scs.2022.104354
"Zahraee, Seyed Mojib; Shiwakoti, Nirajan; Stasinopoulos, Peter",Application of geographical information system and agent-based modeling to estimate particle-gaseous pollutant emissions and transportation cost of woody biomass supply chain,APPLIED ENERGY,"Wood based bioenergy industry is growing rapidly due to climate change, challenging environmental and economic conditions, progress in energy conversion, and development of renewable energy policies. In this regard, an important challenge is employing woody biomass effectively and considering the lower environmental emissions, transportation, and emissions cost of the supply chain and activities needed to convert biomass into a valued energy source. Geographical scale, distribution, and the type of transportation of waste wood cause considerable challenges to meet the economic and environmental sustainability of the woody biomass supply chain (BSC). This study aims to develop an integrated Geographical Information System and Agent-based simulation modeling tool to fill this knowledge gap by investigating the particle-gaseous pollutant emissions and transportation cost of woody BSC. The two main forms of land freight, train and truck, with three sizes of capacity (light, medium, and heavy) are considered for the study. Scenario analysis is conducted to measure the particle-gaseous pollutant emissions and transportation costs of woody BSC. The developed model is tested through a case study in Victoria, Australia. Results showed that a combination of truck and train transport with increasing size and capacity of container leads to a reduction of around 60% gaseous pollutant emissions. Using 80% train transportation mode by suppliers would reduce emissions cost by 58%. Using rail transport emitted higher particulate emissions, and trucks with higher capacity reduced the particulate emissions by 55%. Results also depict that the higher capacity of containers leads to a decrease of at least 50% emissions cost. Harvesting and collection include 50% of total production costs. Finally, the sensitivity analysis results revealed that the factors with the highest impact on the overall transportation and emission costs of woody BSC are those in relation to transport network (i.e., type, capacity, and distance).Australian Renewable Energy Agency, the Australian Government and biomass industry stockholders may apply these results to define and develop plans and policies to contribute towards delivering net zero emissions by 2050. The model proposed in this study can be generalized and adapted to biofuel or other renewable energy supply chains worldwide.",1-Mar,2022,309,,10.1016/j.apenergy.2021.118482,http://dx.doi.org/10.1016/j.apenergy.2021.118482
"Cao, Yingqi; Li, Fen; Xi, Xuesong; van Bilsen, Daniel Jacques Corne; Xu, Liyan","Urban livability: Agent-based simulation, assessment, and interpretation for the case of Futian District, Shenzhen",JOURNAL OF CLEANER PRODUCTION,"The livability of a city, which includes social, economic, environmental, and other connotations, assumes a central role in determining the quality of life. Only when the city develops in a coordinated manner in these aspects can it truly build a sustainable urbanism. Current literature on urban livability show gaps in terms of its measurement and assessment, especially from a dynamic point of view. To address these gaps, in this paper we design an indicator system for measuring urban livability which is built upon a comprehensive synthesis of existing literature to our knowledge. Based on the indicator system, we build an agent-based simulation model on the NetLogo platform for urban livability which utilizes multi-source geographical data. In applying the model in our study case, Futian District, Shenzhen, the simulated livability scores are tested valid and robust, thus hinting its potentials for generalization. A further global sensitivity analysis on the simulation results reveals the first- and second-order factors' contribution structure to the overall livability score, which proves a useful tool in policy analysis. The simulation tools developed in this paper constitute a practical approach for sustainable development of cities in supporting governance policy evaluation and design, and the methodological framework offers a new scope for understanding the mechanisms of the making of urban livability.",20-Oct,2021,320,,10.1016/j.jclepro.2021.128662,http://dx.doi.org/10.1016/j.jclepro.2021.128662
"Kumar, Vaibhav; Singh, Vivek Kumar; Gupta, Kshama; Jha, Ashutosh Kumar",Integrating Cellular Automata and Agent-Based Modeling for Predicting Urban Growth: A Case of Dehradun City,JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING,"This paper proposes a framework for land-use land cover (LULC) simulation for urban growth estimation. The framework couples Cellular Automata Markov (CAM) and agent-based modeling (ABM) to explore the impact of socioeconomic factors, spatial neighborhoods, stakeholder choices, and development plans on LULC. The approach applies CA model to examine the spatiotemporal change in LULC patterns and ABM to observe the role of different socioeconomic drivers and commercial factors in the simulated environment to predict future urban LULC. For Dehradun city of India, the analysis of spatial patterns shows spatial accuracy of 87.86%. Most of the urban agriculture and vacant areas are converted to commercial, low-, medium-, and high-density residential areas. The coupled CAM-ABM model was found more efficient in prediction compared to the traditional CAM model. The methodologies presented in the paper can help decision makers foresight the requirements, thus leading to better resource management and informed decision making.",NOV,2021,49,11,10.1007/s12524-021-01418-2,http://dx.doi.org/10.1007/s12524-021-01418-2
"Hwang, Yujeong; Heo, Gyunyoung",Development of a radiological emergency evacuation model using agent-based modeling,NUCLEAR ENGINEERING AND TECHNOLOGY,"In order to mitigate the damage caused by accidents in nuclear power plants (NPPs), evacuation strategies are usually managed on the basis of off-site effects such as the diffusion of radioactive materials and evacuee traffic simulations. However, the interactive behavior between evacuees and the accident environment has a significant effect on the consequential gap. Agent-based modeling (ABM) is a method that can control and observe such interactions by establishing agents (i.e., the evacuees) and patches (i.e., the accident environments). In this paper, a radiological emergency evacuation model is constructed to realistically check the effectiveness of an evacuation strategy using NetLogo, an ABM toolbox. Geographic layers such as radiation sources, roads, buildings, and shelters were downloaded from an official geographic information system (GIS) of Korea, and were modified into respective patches. The dispersion model adopted from the puff equation was also modified to fit the patches on the geographic layer. The evacuees were defined as vehicle agents and a traffic model was implemented by combining the shortest path search (determined by an A * algorithm) and a traffic flow model incorporated in the NagelSchreckenberg cellular automata model. To evaluate the radiological harm to the evacuees due to the spread of radioactive materials, a simple exposure model was established to calculate the overlap fraction between the agents and the dispersion patches. This paper aims to demonstrate that the potential of ABM can handle disaster evacuation strategies more realistically than previous approaches. (c) 2021 Korean Nuclear Society, Published by Elsevier Korea LLC. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).",JUL,2021,53,7,10.1016/j.net.2021.01.007,http://dx.doi.org/10.1016/j.net.2021.01.007
"Simmonds, Jose; Gomez, Juan A.; Ledezma, Agapito",The role of agent-based modeling and multi-agent systems in flood-based hydrological problems: a brief review,JOURNAL OF WATER AND CLIMATE CHANGE,"Flood problems are complex phenomena with a direct relationship with the hydrological cycle; these are natural processes occurring in water systems, that interact at different spatial and temporal scales. In modeling the hydrological phenomena, traditional approaches, like physics-based mathematical equations and data-driven modeling (DDM) are used. Advances in hydroinformatics are helping to understand these physical processes, with improvements in the collection and analysis of hydrological data, information and communication technologies (ICT), and geographic information systems (GIS), offering opportunities for innovations in model implementation, to improve decision support for the response to societally important floods impacting our societies. This paper offers a brief review of agent-based models (ABMs) and multi-agent systems (MASs) methodologies' applications for solutions to flood problems, their management, assessment, and efforts for forecasting stream flow and flood events. Significant observations from this review include: (i) contributions of agent technologies, as a growing methodology in hydrology; (ii) limitations; (iii) capabilities of dealing with distributed and complex domains; and (iv), the capabilities of MAS as an increasingly accepted point of view applied to flood modeling, with examples presented to show the variety of system combinations that are practical on a specialized architectural level for developing and deploying sophisticated flood forecasting systems.",DEC,2020,11,4,10.2166/wcc.2019.108,http://dx.doi.org/10.2166/wcc.2019.108
"Thiel, Daniel",A pricing-based location model for deploying a hydrogen fueling station network,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,"We propose an innovative two-step Pricing-Based Location strategy for the rollout of new hydrogen fueling stations. A first model maximizes the profit of a new station with a price p* which corresponds to a design capacity supplying a given market share (n* customers). According to these findings and with the objective of deploying an extensive network, a second model searches for a suitable location as remote as possible from existing competitors, but as close as possible to just n* demand locations. This problem is solved by an agent-based model integrating the Particle Swarm Optimization metaheuristic and a Geographic Information System representing the geospatial distribution of customer demand. We apply this model to the city of Paris by locating additional stations across the city one by one to supply a growing captive fleet of taxis and other transport operators in the future. (C) 2020 Hydrogen Energy Publications LLC. Published by Elsevier Ltd. All rights reserved.",21-Sep,2020,45,46,10.1016/j.ijhydene.2020.06.178,http://dx.doi.org/10.1016/j.ijhydene.2020.06.178
"Giuffrida, Nadia; Le Pira, Michela; Inturri, Giuseppe; Ignaccolo, Matteo; Calabro, Giovanni; Cuius, Blochin; D'Angelo, Riccardo; Pluchino, Alessandro",On-Demand Flexible Transit in Fast-Growing Cities: The Case of Dubai,SUSTAINABILITY,"Increase in city population and size leads to growing transport demand and heterogeneous mobility habits. In turn, this may result in economic and social inequalities within the context of rapid economic growth. Provision of flexible transit in fast-growing cities is a promising strategy to overcome the limits of conventional public transport and avoid the use of private cars, towards better accessibility and social inclusion. This paper presents the case of Dubai (UAE), where a demand responsive transit service called MVMANT (a company based in Italy) has been tested in some low demand districts. The contribution of this work relies on the use of an agent-based model calibrated with Geographic Information System (GIS) real data to reproduce the service and find optimal configurations from both the perspective of the transport operator and the community. Different scenarios were simulated, by changing the vehicle assignment strategy and capacity, and comparing MVMANT with a ride-sharing service with smaller vehicles. Results suggest that route choice strategy is important to find a balance between operator and user costs, and that these types of flexible transit can satisfy transport demand with limited total costs compared to other shared mobility services. They can also be effective in satisfying fluctuating demand by adopting heterogeneous fleets of vehicles. Finally, appropriate planning and evaluation of these services are needed to fully explore their potential in covering the gap between low-quality fixed public transport and unsustainable private transport.",JUN,2020,12,11,10.3390/su12114455,http://dx.doi.org/10.3390/su12114455
"Loraamm, Rebecca W.",Incorporating behavior into animal movement modeling: a constrained agent-based model for estimating visit probabilities in space-time prisms,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,"Animal movement is a dynamic spatio-temporal process. While trajectory data reflect the instantaneous animal position in space and time, other factors influence movement decisions between these observed positions. While some methods incorporate environmental (habitat) context into their understanding of the animal movement process, it is often captured in terms of simple parameters or weights influencing model results; primary behavioral data are not used directly to inform these models. Here, a new space-time constrained agent-based model is introduced, capable of producing ordered, behaviorally informed animal potential paths between observed space-time anchors. Potential paths generated by this approach incorporate both observed animal behavior and classical space-time constraints, and are used to construct associated visit probability distributions. Additionally, the notion of a behavioral space-time path is introduced, a variant of the space-time path based on the results of behaviorally aware animal movement simulation. The results of this approach demonstrate a means to better understand the varied movement opportunities within space-time prisms from an animal behavior perspective. From a spatial ecology perspective, not only is the environmental context considered, but the animal's choice of transition and movement magnitude between contexts is modeled. This approach provides insight into the complex sequence of behaviorally informed actions driving animal movement decision-making.",2-Aug,2020,34,8,10.1080/13658816.2019.1658875,http://dx.doi.org/10.1080/13658816.2019.1658875
"Jin, Zhu; Northridge, Mary E.; Metcalf, Sara S.",Modeling the influence of social ties and transportation choice on access to oral healthcare for older adults,APPLIED GEOGRAPHY,"The current U.S. demographic shift toward an older population and the importance of intervening before conditions become severe warrant a concerted effort to ease the burden of access to healthcare for older adults. With regard to oral healthcare, more integrated services for older adults are needed to effectively serve their complex medical and dental needs. Using an agent-based simulation model, this paper examines the influence of social ties and transportation mode choices on opportunities for older adults to participate in community-based preventive screening events and access needed oral healthcare. This approach accounts for the heterogeneity of behavior that arises for a population exhibiting diversity in terms of social factors, including socioeconomic means and social support. In the context of older adults living in urban environments, the availability of different transportation modes ought to be taken into consideration. To explore alternative scenarios for the accessibility of preventive screening events offered at senior centers in northern Manhattan, an agent-based model (ABM) was created with a geographic information system (GIS) to simulate the influence of social ties and transportation choices on older adults seeking preventive screening services and oral healthcare. Results of simulation experiments indicate preferences for public transportation and inequities in accessibility that may be mitigated with social support. This simulation model offers a way to explore social support as an important factor in making transportation mode choices that mediate oral healthcare accessibility and thus oral health outcomes for older adults.",JUL,2018,96,,10.1016/j.apgeog.2018.05.005,http://dx.doi.org/10.1016/j.apgeog.2018.05.005
"Oloo, Francis; Safi, Kamran; Aryal, Jagannath","Predicting Migratory Corridors of White Storks, Ciconia ciconia, to Enhance Sustainable Wind Energy Planning: A Data-Driven Agent-Based Model",SUSTAINABILITY,"White storks (Ciconia ciconia) are birds that make annual long-distance migration flights from their breeding grounds in the Northern Hemisphere to the south of Africa. These trips take place in the winter season, when the temperatures in the North fall and food supply drops. White storks, because of their large size, depend on the wind, thermals, and orographic characteristics of the environment in order to minimize their energy expenditure during flight. In particular, the birds adopt a soaring behavior in landscapes where the thermal uplift and orographic updrafts are conducive. By attaining suitable soaring heights, the birds then use the wind characteristics to glide for hundreds of kilometers. It is therefore expected that white storks would prefer landscapes that are characterized by suitable wind and thermal characteristics, which promote the soaring and gliding behaviors. However, these same landscapes are also potential sites for large-scale wind energy generation. In this study, we used the observed data of the white stork movement trajectories to specify a data-driven agent-based model, which simulates flight behavior of the white storks in a dynamic environment. The data on the wind characteristics and thermal uplift are dynamically changed on a daily basis so as to mimic the scenarios that the observed birds experienced during flight. The flight corridors that emerge from the simulated flights are then combined with the predicted surface on the wind energy potential, in order to highlight the potential risk of collision between the migratory white storks and hypothetical wind farms in the locations that are suitable for wind energy developments. This work provides methods that can be adopted to assess the overlap between wind energy potential and migratory corridors of the migration of birds. This can contribute to achieving sustainable trade-offs between wind energy development and conservation of wildlife and, hence, handling the issues of human-wildlife conflicts.",MAY,2018,10,5,10.3390/su10051470,http://dx.doi.org/10.3390/su10051470
"Rouzafzoon, Javad; Helo, Petri",Developing service supply chains by using agent based simulation,INDUSTRIAL MANAGEMENT & DATA SYSTEMS,"Purpose - Agent-based computer simulation gives new possibilities to model service supply chains which combine flow of people, geographical elements, demand patterns and service rates. The purpose of this paper is to demonstrate by using an example how agent-based modeling can be used for health service supply chain design. Design/methodology/approach - Generic structure of agent-based service supply chain modeling is described. The presented example is healthcare supply chain with service distribution and service location problem. Main focus in presentation on model building, actual case data are not discussed. Findings - In context of service supply chain, agent-based modeling has advantages compared to traditional discrete event approach. Agent-based simulation allows modeling of interactions of autonomous agents. Practical implications - Reach of service for each geographical area may be used as a constraint for building service distribution network. Service supply chains consist of service providers and flow of customers with given geographical locations. Key performance indicators can be assessed in combination with service footprint. Originality/value - Availability of geographical population data and agent-based simulation gives new possibility for service supply chain models.",,2016,116,2,10.1108/IMDS-05-2015-0220,http://dx.doi.org/10.1108/IMDS-05-2015-0220
"Pooyandeh, Majeed; Marceau, Danielle J.",Incorporating Bayesian learning in agent-based simulation of stakeholders' negotiation,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,"This paper describes the incorporation of a Bayesian learning algorithm into an agent-based model designed to simulate stakeholders' negotiation when evaluating scenarios of land development. The objective is to facilitate reaching an agreement at an earlier stage in the negotiation by providing the opportunity to the proposer agent to learn his opponents' preferences. The modeling approach is tested in the Elbow River watershed, in southern Alberta, Canada, that is under considerable pressure for land development due to the proximity of the fast growing city of Calgary. Five agents are included in the model respectively referred to as the Developer agent, the Planner agent, the Citizen agent, the Agriculture-Concerned agent, and the WaterConcerned agent. Two types of land development scenarios are evaluated; in the first case, only the geographical location is considered while in the second case, the internal land-use composition is also varied. The Developer agent that is equipped with the Bayesian learning capability attempts to approximate its opponents' fuzzy evaluation functions based on the responses he receives from them at each round of the negotiation. The results indicate that using this approach, an agreement can be reached in fewer number of negotiation rounds than in the case where the Developer agent selects the subsequent offers based merely on its own utility. The model also indicates how the satisfaction of each agent evolves during the negotiation. This information is very useful for decision makers who wish to consider stakeholders' perspectives when dealing with multiple objectives in a spatial context. (C) 2014 Elsevier Ltd. All rights reserved.",NOV,2014,48,,10.1016/j.compenvurbsys.2014.07.003,http://dx.doi.org/10.1016/j.compenvurbsys.2014.07.003
"Estrada-Pena, Agustin; Carreon, Diana; Almazan, Consuelo; de la Fuente, Jose",Modeling the Impact of Climate and Landscape on the Efficacy of White Tailed Deer Vaccination for Cattle Tick Control in Northeastern Mexico,PLOS ONE,"Cattle ticks are distributed worldwide and affect animal health and livestock production. White tailed deer (WTD) sustain and spread cattle tick populations. The aim of this study was to model the efficacy of anti-tick vaccination of WTD to control tick infestations in the absence of cattle vaccination in a territory where both host species coexist and sustain cattle tick populations. Agent-based models that included land cover/landscape properties (patch size, distances to patches) and climatic conditions were built in a GIS environment to simulate WTD vaccine effectiveness under conditions where unvaccinated cattle shared the landscape. Published and validated information on tick life cycle was used to build models describing tick mortality and developmental rates. Data from simulations were applied to a large territory in northeastern Mexico where cattle ticks are endemic and WTD and cattle share substantial portions of the habitat. WTD movements were simulated together with tick population dynamics considering the actual landscape and climatic features. The size of the vegetation patches and the distance between patches were critical for the successful control of tick infestations after WTD vaccination. The presence of well-connected, large vegetation patches proved essential for tick control, since the tick could persist in areas of highly fragmented habitat. The continued application of one yearly vaccination on days 1-70 for three years reduced tick abundance/animal/patch by a factor of 40 and 60 for R. annulatus and R. microplus, respectively when compared to non-vaccinated controls. The study showed that vaccination of WTD alone during three consecutive years could result in the reduction of cattle tick populations in northeastern Mexico. Furthermore, the results of the simulations suggested the possibility of using vaccines to prevent the spread and thus the re-introduction of cattle ticks into tick-free areas.",21-Jul,2014,9,7,10.1371/journal.pone.0102905,http://dx.doi.org/10.1371/journal.pone.0102905
"Spielman, Seth; Harrison, Patrick",The Co-evolution of Residential Segregation and the Built Environment at the Turn of the 20th Century: A Schelling Model,TRANSACTIONS IN GIS,"To what degree does the built environment of cities shape the social environment? In this article we use a Schelling-like agent-based model to consider how changes to the built environment of cities relate to changes in residential segregation by income and ethnicity. To develop this model we exploit insights from a high resolution historical GIS which maps 100% of the population of Newark, NJ in 1880. Newark in 1880 had a complex social landscape characterized by areas of significant social and economic segregation and areas of relative integration. We develop a Schelling model capable of reproducing these residential patterns. We use this model to explore the decentralization of housing, a specific phenomenon associated with the demise of the walking city in the late 19th century. Holding agent preferences constant, but allowing the landscape of the Schelling model to evolve in ways that reflect historical changes to the built environment, produces changes to the social landscape that are also consistent with history. Our work suggests that changes in residential segregation do not necessarily imply changes to individual attitudes and preferences. Changes in residential segregation can be generated by changes to the built environment, specifically the geographic distribution of housing.",FEB,2014,18,1,10.1111/tgis.12014,http://dx.doi.org/10.1111/tgis.12014
"Ge, Yuanzheng; Song, Zhichao; Qiu, Xiaogang; Song, Hongbin; Wang, Yong",Modular and hierarchical structure of social contact networks,PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,"Social contact networks exhibit overlapping qualities of communities, hierarchical structure and spatial-correlated nature. We propose a mixing pattern of modular and growing hierarchical structures to reconstruct social contact networks by using an individual's geospatial distribution information in the real world. The hierarchical structure of social contact networks is defined based on the spatial distance between individuals, and edges among individuals are added in turn from the modular layer to the highest layer. It is a gradual process to construct the hierarchical structure: from the basic modular model up to the global network. The proposed model not only shows hierarchically increasing degree distribution and large clustering coefficients in communities, but also exhibits spatial clustering features of individual distributions. As an evaluation of the method, we reconstruct a hierarchical contact network based on the investigation data of a university. Transmission experiments of influenza H1N1 are carried out on the generated social contact networks, and results show that the constructed network is efficient to reproduce the dynamic process of an outbreak and evaluate interventions. The reproduced spread process exhibits that the spatial clustering of infection is accordant with the clustering of network topology. Moreover, the effect of individual topological character on the spread of influenza is analyzed, and the experiment results indicate that the spread is limited by individual daily contact patterns and local clustering topology rather than individual degree. (C) 2013 Elsevier B.V. All rights reserved.",1-Oct,2013,392,19,10.1016/j.physa.2013.05.051,http://dx.doi.org/10.1016/j.physa.2013.05.051
"Holme, Petter; Karlin, Josh; Forrest, Stephanie","An integrated model of traffic, geography and economy in the internet",ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,"Modeling Internet growth is important both for understanding the current network and to predict and improve its future. To date, Internet models have typically attempted to explain a subset of the following characteristics: network structure, traffic flow, geography, and economy. In this paper we present a discrete, agent-based model, that integrates all of them. We show that the model generates networks with topologies, dynamics, and more speculatively spatial distributions that are similar to the Internet.",JUL,2008,38,3,,
"Mikler, Armin R.; Venkatachalam, Sangeeta; Ramisetty-Mikler, Suhasini",Decisions under uncertainty: a computational framework for quantification of policies addressing infectious disease epidemics,STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,"Emerging infectious diseases continue to place a strain on the welfare of the population by decreasing the population's general health and increasing the burden on public health infrastructure. This paper addresses these issues through the development of a computational framework for modeling and simulating infectious disease outbreaks in a specific geographic region facilitating the quantification of public health policy decisions. Effectively modeling and simulating past epidemics to project current or future disease outbreaks will lead to improved control and intervention policies and disaster preparedness. In this paper, we introduce a computational framework that brings together spatio-temporal geography and population demographics with specific disease pathology in a novel simulation paradigm termed, global stochastic field simulation (GSFS). The primary aim of this simulation paradigm is to facilitate intelligent what-if-analysis in the event of health crisis, such as an influenza pandemic. The dynamics of any epidemic are intrinsically related to a region's spatio-temporal characteristics and demographic composition and as such, must be considered when developing infectious disease control and intervention strategies. Similarly, comparison of past and current epidemics must include demographic changes into any effective public health policy for control and intervention strategies. GSFS is a hybrid approach to modeling, implicitly combining agent-based modeling with the cellular automata paradigm. Specifically, GSFS is a computational framework that will facilitate the effective identification of risk groups in the population and determine adequate points of control, leading to more effective surveillance and control of infectious diseases epidemics. The analysis of past disease outbreaks in a given population and the projection of current or future epidemics constitutes a significant challenge to Public Health. The corresponding design of computational models and the simulation that facilitates epidemiologists' understanding of the manifestation of diseases represents a challenge to computer and mathematical sciences.",AUG,2007,21,5,10.1007/s00477-007-0137-y,http://dx.doi.org/10.1007/s00477-007-0137-y
"Zhu, Haojie; Wang, Fahui",An agent-based model for simulating urban crime with improved daily routines,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,"We propose a scalable agent-based crime simulation model based on the routine activity theory. It uses census data and time geography to create a synthetic population with residences and job locations, commuting schedules, and daily routines constrained by disposable time that are more representative than existing models. The time and location of crime incidents in this model are determined by random encounters between vulnerable targets and motivated offenders when they travel or carry out scheduled activities on a road network. This model is applied to simulate robberies in January 2011 for Baton Rouge, Louisiana. Three scenarios are simulated to demonstrate its value for crime theory development and shed light on modeling issues in need of improvement before it can reliably assist policymaking or inform the public. Major findings from this study include the model's ability to replicate prominent robbery hotspots in the study area with various degrees of success and the consistent effects of target definition and offender strategy on model performance. The study also suggests missing model components to effectively constrain the displacement of crime opportunities under hotspot policing, which can be the key to resolving contradiction between our simulation results and other empirical researches and crime simulations.",SEP,2021,89,,10.1016/j.compenvurbsys.2021.101680,http://dx.doi.org/10.1016/j.compenvurbsys.2021.101680
